DV,Model,Variable,Coefficient,SE,p_value,N
Gov Grants,M3b Hurdle P2,ln_employee,0.6802892244809398,0.06313215035727089,4.48658786013112e-27,554
Gov Grants,M3b Hurdle P2,ln_assets,0.27372142322976667,0.05116566299494739,8.809562362161624e-08,554
Gov Grants,M3b Hurdle P2,ln_pop_z,-0.07309266868138639,0.08731487381012171,0.4025274269952198,554
Gov Grants,M3b Hurdle P2,pct_foreign_born_z,-0.06178595146633495,0.09874036751297088,0.5314844697209467,554
Gov Grants,M3b Hurdle P2,ses_index,-0.009573578241470905,0.08308107567102477,0.9082614286586043,554
Gov Grants,M3b Hurdle P2,dem_share_z,0.017909477469375032,0.08007595873549331,0.823024899599057,554
Prog Rev,M1 Baseline,imgrnt_support,0.00634787232735444,0.07223581481671308,0.9299743752782554,1287
Prog Rev,M1 Baseline,econ_support,0.016175462147484092,0.1365048925356331,0.905673628826482,1287
Prog Rev,M1 Baseline,enforce_binary,-0.46611822388860324,0.3318110531972973,0.16008967308160316,1287
Prog Rev,M1 Baseline,npoprovider_c,-0.19812523063592896,0.08674997156061993,0.02237946151925337,1287
Prog Rev,M1 Baseline,ln_employee,1.580185471171831,0.10660308007702998,1.0391609237318064e-49,1287
Prog Rev,M1 Baseline,ln_assets,0.2144019041392018,0.06317495778508696,0.0006893506359210292,1287
Prog Rev,M1 Baseline,ln_pop_z,0.1909591476033418,0.20230112866381816,0.3452027850450726,1287
Prog Rev,M1 Baseline,pct_foreign_born_z,-0.15945756548737777,0.2184357008599432,0.4653915729666518,1287
Prog Rev,M1 Baseline,ses_index,0.1480540906736209,0.17199049602497507,0.3893332425258492,1287
Prog Rev,M1 Baseline,dem_share_z,0.4608766498425627,0.23029786228152216,0.045368704386946894,1287
Prog Rev,M2 Moderation,imgrnt_support,0.01370790133865945,0.07174166618525737,0.8484683357419368,1287
Prog Rev,M2 Moderation,econ_support,0.1148220936473329,0.15004508560092303,0.4441223266882307,1287
Prog Rev,M2 Moderation,enforce_binary,-0.4234577756369192,0.3280004600645632,0.19669397095320706,1287
Prog Rev,M2 Moderation,npoprovider_c,-0.11352763659939077,0.1397810666526193,0.41668732826486465,1287
Prog Rev,M2 Moderation,imgrnt_support:npoprovider_c,-0.07067407433451725,0.035422627803376926,0.04602461877493153,1287
Prog Rev,M2 Moderation,econ_support:npoprovider_c,-0.06951094744750022,0.09857967509370323,0.4807327398927682,1287
Prog Rev,M2 Moderation,enforce_binary:npoprovider_c,0.17369623253437574,0.15826222077760793,0.27241336986749476,1287
Prog Rev,M2 Moderation,ln_employee,1.5731169390880066,0.10717061546874657,8.836825096978861e-49,1287
Prog Rev,M2 Moderation,ln_assets,0.21597968294052666,0.0639338782625143,0.000729692353688061,1287
Prog Rev,M2 Moderation,ln_pop_z,0.2634136181382065,0.21740858988940828,0.22566312014643986,1287
